,"Brands","Brand_C","Brand_D","Brand_E","Brand_F","Brand_G","Brand_H",,,,,,,,,,,,,,,,,,,
,4,0.117936687385746,0.117936687385746,0.117936687385746,0.240431541322461,0.162348109742322,0.337825932814139,,,4,0.18800235843277,0.209604736045304,0.168415939404852,0.209604736045304,0.261375430858596,0.261375430858596,,,4,0.184123930379594,0.14944106150146,0.233355723939445,0.233355723939445,0.206226927201483,0.266480859068603,
"g=",1,4.09135455673799,4.09135455673799,4.09135455673799,3.34572108248894,3.86320027914668,2.96010431073143,"Z","t=",1,4.13016995956085,4.04796774533184,4.16937080782231,4.04796774533184,3.70682122323975,3.70682122323975,"Z","f=",1,3.89278535304155,3.89278535304155,3.70704604332436,3.70704604332436,3.83043051338889,3.52315581703701,"Z"
"G=",1.1,,,,,,,,"T=",1.5,,,,,,,,"F=",1.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like=Fashion+Trust+Fit",1,1,1,3,2,4,,,,,,,,,,,,,,,,,,,
"S_Like",0,0.120473796665108,0.134641576666055,0.115701199633257,0.0491478063991416,0.0591186436069517,0.0299598304715038,,,,,,,,,,,,,,,,,,,
,1,0.250830852105264,0.279899248353645,0.238475534206898,0.111933449430977,0.137884885245858,0.0726595716692711,,,,,,,,,,,,,,,,,,,
,2,0.299825319154423,0.289675435426045,0.279735766732789,0.228474861978149,0.285358017128283,0.161158121311304,,,,,,,,,,,,,,,,,,,
,3,0.218832506601364,0.195884615150351,0.237057688883421,0.378290766396623,0.31371544010161,0.316250711282517,,,,,,,,,,,,,,,,,,,
,4,0.110037525473841,0.099899124403904,0.129029810543634,0.232153115795109,0.203923013917297,0.419971765265404,,,,,,,,,,,,,,,,,,,
,,0.0371006607262591,0.0369792653086444,0.0359220005919687,0.0506566508511266,0.0429132224283595,0.0560278132455076,"Zlike",,,,,,,,,,,,,,,,,,
,"max",0.299825319154423,0.289675435426045,0.279735766732789,0.378290766396623,0.31371544010161,0.419971765265404,,,,,,,,,,,,,,,,,,,
,"S^_Like_max",2,2,2,3,3,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Advertising-Fash(t-1),t=0  -->",1,1,1,3,2,4,,,,,,,,,,,,,,,,,,,
"S_Fash(t)",0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,
,1,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,
,2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,
,3,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,
,4,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,
"D=",0,4.70311195074756,4.55198619456466,4.64113429198131,4.88285610796012,4.71096771124632,4.61455001872318,"Z",,,,,,,,,,,,,,,,,,
"Adv","t=1",0.000897864764556289,0.0839149240404367,0.0195576894562691,0.011190120736137,0.0770782934501767,0.0681272798217833,,"alpha_ij","j=1","j=2","j=3",,"A_ij","j=1","j=2","j=3",,,,,,,,,
"difference","t=2",0.0656586786732078,0.0927491003647447,0.00323757035657763,0.0515784580726177,0.0878869907930494,0.0916681180708111,,"i=1",0,0,0,,"i=1",0,0,0,,,,,,,,,
0.1,"t=3",0.0602464391849935,0.0213786728680134,0.0235588654875755,0.0358390612527728,0.0909152205567807,0.0160698203369975,,"i=2",0,0,0,,"i=2",0,0,0,,,,,,,,,
,"t=4",0.061213505640626,0.0938742484431714,0.0744791165925562,0.0237075957469642,0.0595445666462183,0.0802235533017665,,"i=3",0,0,0,,"i=3",0,0,0,,,,,,,,,
,"t=5",0.0827630130574107,0.0648613763041794,0.0613885923754424,0.0177086091134697,0.0933690629899502,0.0930495053529739,,,,,,,,,,,,,,,,,,,
,"t=6",0.0986574193462729,0.0545825686305761,0.0869237537961453,0.0731365359388292,0.0782901643775404,0.0464683204889298,,,,,,,,,,,,,,,,,,,
,"t=7",0.0533600892871618,0.0791880291420967,0.0303832445293665,0.072917778743431,0.0903781498782337,0.00746153797954321,,,,,,,,,,,,,,,,,,,
,"t=8",0.0410450585652143,0.0560368285980076,0.000210638390854001,0.0442826289217919,0.00761528667062521,0.0880976291839034,,,,,,,,,,,,,,,,,,,
,"t=9",0.0359507470391691,0.0678617258556187,0.00947630205191672,0.0595096125267446,0.00370078715495765,0.000391522655263543,,,,,,,,,,,,,,,,,,,
,"t=10",0.0755794329103082,0.0864638002123684,0.065252898959443,0.0369680252857506,0.00417240937240422,0.0586219619959593,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"weak ties fash",,,,,,,,"beta_ik","I=1","I=2","I=3",,"B_ik","I=1","I=2","I=2",,,,,,,,,
,"#1 grumpy",0,0,0,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
,"#2 sleepy",2,2,2,2,2,2,,,0,0,0,,,0,0,0,,,,,,,,,
,"#3 happy",4,4,4,4,4,4,,,0,0,0,,,0,0,0,,,,,,,,,
,"#4 sneezy",1,2,2,3,4,3,,,0,0,0,,,0,0,0,,,,,,,,,
